,,,,,,,,,10日,5日,10日,,,,,
最新价,今日涨跌,代码,,名称,,板块,5日涨跌,,10日涨跌,主力净占比,主力净占比,,,,,
f2,f3,f12,f13,f14,f62,f100,f109,f124,f160,f165,f175,f184,f225,f263,f264,f265
9.54,-0.83,601330,1,XD绿色动,-5202339,环保工程,2.8,1592552377,-0.42,-0.08,-2.59,-4.54,2330,1259,2045,BK0728
23.11,0.04,603888,1,新华网,-4526550,文化传媒,0.26,1592552376,0.04,0.26,-0.24,-4.54,2331,1120,974,BK0486
13.77,0.07,2825,0,纳尔股份,-673171,塑胶制品,1.25,1592551863,3.38,-0.64,0.18,-4.54,2332,1434,824,BK0454
11.6,0.96,625,0,长安汽车,-14280338,汽车行业,1.13,1592551863,12.73,-2.05,0.33,-4.55,2333,1974,776,BK0481
10.96,-0.45,603008,1,喜临门,-1745125,木业家具,-3.35,1592552382,-5.03,-4.63,-4.29,-4.56,2334,2837,2781,BK0476
23.3,-1.31,603948,1,建业股份,-2404562,化工行业,0.91,1592552391,-3.8,-3.95,-3.87,-4.57,2335,2649,2625,BK0538
15.03,3.66,600861,1,北京城乡,-14285298,商业百货,-6,1592552380,-5.89,-3.37,-2.62,-4.58,2336,2460,2056,BK0482
1.6,0.63,300116,0,坚瑞沃能,-1533757,机械行业,0.63,1592551863,-1.84,-11.32,-13.29,-4.6,2337,3783,3917,BK0545
40.74,0.07,688288,1,鸿泉物联,-3422522,专用设备,-1.4,1592552376,-18.5,-3.85,-6.3,-4.6,2338,2618,3368,BK0910
9.1,0.55,603648,1,畅联股份,-1105625,交运物流,3.88,1592552395,-2.88,-0.13,-3.75,-4.61,2339,1285,2584,BK0422
56.2,0.36,688177,1,百奥泰-U,-6247124,医药制造,-6.66,1592552397,8.52,-6.47,-2.01,-4.61,2340,3280,1770,BK0465
6.09,-0.49,601958,1,金钼股份,-2604863,有色金属,2.53,1592552403,0.16,2.24,0.59,-4.62,2341,607,721,BK0478
6.47,0.62,600382,1,广东明珠,-1164937,国际贸易,1.41,1592552392,0,-4.09,-6,-4.62,2342,2680,3300,BK0484
7.73,0.13,601020,1,华钰矿业,-1186726,有色金属,0.91,1592552385,0.78,-5.8,-2.83,-4.63,2343,3146,2162,BK0478
20.22,-0.49,600406,1,国电南瑞,-16357268,输配电气,0.6,1592552376,6.42,-0.23,1.2,-4.64,2344,1313,547,BK0457
33.2,-0.9,300818,0,耐普矿机,-857620,专用设备,3.04,1592551863,-2.5,-2.25,-3.66,-4.65,2345,2060,2541,BK0910
25.44,1.11,600079,1,人福医药,-16942611,医药制造,2.17,1592552389,11.38,-3.72,-2.76,-4.66,2346,2579,2129,BK0465
71.17,1.17,300630,0,普利制药,-16636059,医药制造,-7.57,1592551863,-7.75,-9.68,-8.31,-4.66,2347,3676,3688,BK0465
2.82,-0.35,753,0,漳州发展,-868805,商业百货,-1.74,1592551863,-0.35,-3.82,-0.48,-4.67,2348,2612,1059,BK0482
26.27,-0.08,603260,1,合盛硅业,-5506682,化工行业,5.08,1592552404,4.2,2.33,-1.44,-4.68,2349,593,1479,BK0538
27.76,0.04,300778,0,新城市,-1642052,工程建设,11.31,1592551863,7.93,3.74,2.23,-4.68,2350,362,367,BK0425
16.99,0.71,603657,1,春光科技,-911426,塑胶制品,1.49,1592552387,-2.91,-2.53,-3.69,-4.68,2351,2185,2556,BK0454
9.49,1.71,2670,0,国盛金控,-15305777,券商信托,3.15,1592551863,6.99,-2.35,1.3,-4.69,2352,2100,528,BK0473
13.18,-0.98,603693,1,江苏新能,-10014285,电力行业,12.84,1592552395,14.21,-1.3,-1.75,-4.7,2353,1687,1636,BK0428
51.01,-3.39,603353,1,和顺石油,-23214468,石油行业,12.6,1592552395,36.35,0.26,0.34,-4.7,2354,1118,773,BK0464
7.29,0,600328,1,中盐化工,-1229396,化工行业,1.53,1592552400,-0.68,-4.11,-9.43,-4.7,2355,2686,3784,BK0538
11.39,0.18,300478,0,杭州高新,-361055,塑胶制品,1.7,1592551863,-5.48,-2.11,-6.95,-4.7,2356,2008,3485,BK0454
11.56,-3.1,600185,1,格力地产,-51305970,房地产,-2.03,1592552400,2.12,-6.33,-4.55,-4.71,2357,3257,2874,BK0451
3.11,0.65,2067,0,景兴纸业,-1285127,造纸印刷,1.63,1592551863,1.63,-4.55,-5.11,-4.71,2358,2811,3048,BK0470
21.79,0.55,603379,1,三美股份,-1364545,化工行业,1.25,1592552377,0.18,-5.6,-4.6,-4.71,2359,3097,2892,BK0538
6.14,-0.65,600379,1,宝光股份,-674823,输配电气,-0.65,1592552379,5.68,-3.95,-0.99,-4.72,2360,2648,1263,BK0457
19.82,1.64,300486,0,东杰智能,-1361369,专用设备,0.66,1592551863,-1.83,-2.19,-2.98,-4.72,2361,2040,2231,BK0910
2.13,-1.84,709,0,河钢股份,-7495911,钢铁行业,5.45,1592551863,4.93,-2.56,-5.84,-4.73,2362,2193,3269,BK0479
2.64,-1.49,600527,1,江南高纤,-5829097,化纤行业,-0.38,1592552397,6.88,-7.13,-3.92,-4.73,2363,3398,2639,BK0471
23.65,0,2878,0,元隆雅图,-10952731,文化传媒,1.28,1592551863,12.19,-0.87,1.79,-4.74,2364,1514,442,BK0486
20.22,-0.64,300739,0,明阳电路,-5606643,电子元件,10.31,1592551863,6.31,0.03,-1.05,-4.75,2365,1195,1290,BK0459
19.61,0,603360,1,百傲化学,-4172064,化工行业,7.28,1592552383,5.94,-2.64,-4.09,-4.75,2366,2225,2705,BK0538
3.66,0,755,0,山西路桥,-311341,高速公路,1.95,1592551863,0.55,11.93,5.58,-4.75,2367,33,88,BK0421
27.52,-2.31,2979,0,雷赛智能,-8015212,仪器仪表,4.64,1592551863,5.81,-1.33,-1.56,-4.76,2368,1703,1545,BK0458
34.91,0.37,300748,0,金力永磁,-13697462,材料行业,-2.89,1592551863,-4.43,-5.34,-5.6,-4.77,2369,3015,3209,BK0537
23.1,-0.13,603686,1,龙马环卫,-8175981,机械行业,3.31,1592552380,-0.43,-0.92,-5.02,-4.77,2370,1542,3019,BK0545
18.9,-1.92,300443,0,金雷股份,-10720622,输配电气,3.62,1592551863,15.74,-4.23,-2.01,-4.78,2371,2715,1768,BK0457
2.5,-0.4,600293,1,三峡新材,-816803,通讯行业,2.88,1592552376,-8.76,-2.73,-6.6,-4.78,2372,2254,3428,BK0448
8.43,0.6,2645,0,华宏科技,-2474605,机械行业,-11.26,1592551863,-12.73,-12.08,-4.09,-4.78,2373,3822,2703,BK0545
11.98,0.5,2741,0,光华科技,-1902972,化工行业,-0.83,1592551863,-6.26,-4.58,-4.54,-4.78,2374,2817,2872,BK0538
2.32,0,600339,1,中油工程,-1849365,工程建设,1.31,1592552389,-1.69,-4.76,-9.41,-4.79,2375,2880,3782,BK0425
31.23,0.16,601869,1,长飞光纤,-2938312,通讯行业,1.96,1592552388,2.09,-0.67,-2.01,-4.8,2376,1442,1771,BK0448
6.75,-0.44,300120,0,经纬辉开,-1687775,金属制品,4.33,1592551863,0.15,-4.18,-6.86,-4.84,2377,2699,3465,BK0739
4.34,-1.14,807,0,云铝股份,-11677765,有色金属,4.83,1592551863,6.11,0.59,-0.58,-4.86,2378,1017,1092,BK0478
5.96,1.19,601872,1,招商轮船,-20570420,港口水运,1.53,1592552381,1.88,-5.11,-3,-4.87,2379,2962,2237,BK0450
23.1,0.57,600893,1,航发动力,-9796036,航天航空,-0.86,1592552404,-2.37,-5.98,-5.86,-4.88,2380,3187,3271,BK0480
24.65,-0.04,603950,1,长源东谷,-5822482,汽车行业,-2.41,1592552403,-16.72,-7.37,-10.29,-4.88,2381,3424,3830,BK0481
13.32,0.23,600876,1,洛阳玻璃,-1238853,玻璃陶瓷,1.68,1592552394,-1.33,0.6,-3.36,-4.88,2382,1015,2397,BK0546
24.15,-0.74,300688,0,创业黑马,-3029791,文化传媒,0.79,1592551863,1.86,-2.23,-1.63,-4.89,2383,2055,1581,BK0486
13.68,-0.58,2380,0,科远智慧,-1042784,电子信息,3.25,1592551863,2.32,0.95,-1.91,-4.89,2384,913,1726,BK0447
22.9,-0.82,2971,0,和远气体,-1560081,化工行业,0.66,1592551863,-6.3,-1.13,-5.13,-4.9,2385,1623,3054,BK0538
5.44,0.18,600901,1,江苏租赁,-3698799,多元金融,2.84,1592552397,0.74,-1.57,-3.67,-4.91,2386,1793,2543,BK0738
8.48,-0.93,2788,0,鹭燕医药,-2773304,医疗行业,0.47,1592551863,6.27,-0.57,1.82,-4.91,2387,1417,439,BK0727
6.64,-1.63,600746,1,江苏索普,-1985187,化工行业,7.79,1592552397,4.57,-2.57,-2.45,-4.91,2388,2200,1974,BK0538
35,0.75,300689,0,澄天伟业,-762928,电子元件,-0.14,1592551863,-2.97,-2.6,-3.7,-4.91,2389,2212,2561,BK0459
12.41,-0.08,603567,1,珍宝岛,-1393072,医药制造,3.07,1592552392,3.16,0,-1.14,-4.92,2390,1205,1337,BK0465
163.46,-0.1,2916,0,深南电路,-43948003,电子元件,7.03,1592551863,3.24,3.92,-0.05,-4.94,2391,334,917,BK0459
3.81,-1.55,600403,1,大有能源,-656481,煤炭采选,2.97,1592552383,3.81,2.08,2.95,-4.94,2392,647,271,BK0437
4.93,-0.6,600149,1,ST坊展,-303118,国际贸易,-0.6,1592552391,0.2,-5.35,-4.24,-4.94,2393,3020,2762,BK0484
4.99,3.96,721,0,西安饮食,-16892749,旅游酒店,-4.77,1592551863,-13.97,-6.22,-4.27,-4.95,2394,3234,2767,BK0485
14.51,-1.36,603898,1,好莱客,-1015244,木业家具,-2.09,1592552376,-4.54,-2.88,-2.95,-4.95,2395,2301,2217,BK0476
4.04,0.25,543,0,皖能电力,-1823300,电力行业,2.28,1592551863,2.28,6.67,11.82,-4.96,2396,142,16,BK0428
39.11,1.3,300761,0,立华股份,-5302705,农牧饲渔,1.8,1592551863,-4.02,-4.03,-8.01,-4.96,2397,2667,3651,BK0433
24.68,1.15,600566,1,济川药业,-14353819,医药制造,6.2,1592552401,11.78,-0.59,0.31,-4.97,2398,1421,785,BK0465
28.96,-0.55,300828,0,锐新科技,-5177783,金属制品,-4.55,1592551863,8.06,-4.29,-2.61,-4.97,2399,2738,2054,BK0739
3.4,0,2662,0,京威股份,-4169830,汽车行业,-4.76,1592551863,-8.11,-9.44,-7.13,-4.98,2400,3656,3508,BK0481
26.27,-0.64,300504,0,天邑股份,-6825781,通讯行业,4.49,1592551863,1.35,0.95,-1.34,-4.98,2401,911,1425,BK0448
20.98,0.72,300398,0,飞凯材料,-10748455,化工行业,-2.65,1592551863,-7.33,-5.66,-7.26,-4.99,2402,3115,3529,BK0538
33.33,1.49,300679,0,电连技术,-13363514,电子元件,1.65,1592551863,1.21,-1.25,-1.7,-5,2403,1666,1610,BK0459
4.49,1.13,2145,0,中核钛白,-3999013,化工行业,0.22,1592551863,0.22,0.43,1.34,-5.01,2404,1064,518,BK0538
3.35,0,600853,1,龙建股份,-997909,工程建设,0.6,1592552393,-2.9,-5.69,-3.69,-5.01,2405,3120,2554,BK0425
14.52,-1.89,2866,0,传艺科技,-4366863,电子元件,4.84,1592551863,2.61,2.3,0.3,-5.02,2406,597,790,BK0459
3.64,-2.41,600282,1,南钢股份,-56947664,钢铁行业,30.47,1592552388,31.88,5.61,4.74,-5.03,2407,196,134,BK0479
81.7,0.62,603882,1,金域医学,-26558584,医疗行业,3.76,1592552403,4.81,-4.61,-4.2,-5.03,2408,2829,2738,BK0727
6.91,-1.29,2308,0,威创股份,-10535742,电子元件,10.74,1592551863,5.66,-0.92,-3.55,-5.04,2409,1539,2482,BK0459
28.45,-1.93,2338,0,奥普光电,-32466891,仪器仪表,-11.95,1592551863,16.41,-9.47,-4.64,-5.04,2410,3661,2903,BK0458
4.9,0.62,300403,0,汉宇集团,-1342897,机械行业,2.3,1592551863,-1.8,0.32,-4.7,-5.04,2411,1098,2924,BK0545
24.45,-0.65,2463,0,沪电股份,-42769203,电子元件,4.35,1592551863,1.24,-0.1,-5.21,-5.05,2412,1265,3081,BK0459
3.4,-1.16,600758,1,辽宁能源,-1105373,煤炭采选,1.8,1592552397,-0.29,4.67,-0.53,-5.06,2413,266,1077,BK0437
9.36,-0.53,2293,0,罗莱生活,-970149,纺织服装,-2.09,1592551863,-5.07,-5.4,-5.23,-5.06,2414,3043,3094,BK0436
1.56,0.65,600777,1,新潮能源,-7225333,石油行业,1.96,1592552383,0.65,-6.86,-8.5,-5.08,2415,3345,3704,BK0464
4.63,-1.49,607,0,华媒控股,-3008811,文化传媒,-3.34,1592551863,8.94,-9.44,-0.43,-5.08,2416,3658,1038,BK0486
19.15,-1.95,300698,0,万马科技,-4474402,通讯行业,4.7,1592551863,-1.59,-1.49,-3.4,-5.08,2417,1762,2412,BK0448
6.61,-0.15,600965,1,福成股份,-693410,农牧饲渔,1.38,1592552385,-0.6,-2.37,-3.69,-5.08,2418,2118,2555,BK0433
12.98,-1.07,2793,0,罗欣药业,-2274722,医药制造,3.84,1592551863,3.84,-1.53,-3,-5.09,2419,1776,2241,BK0465
20.51,-0.58,681,0,视觉中国,-15591032,文化传媒,10.8,1592551863,4.64,2.29,-1.15,-5.11,2420,600,1338,BK0486
3.14,0.64,2325,0,洪涛股份,-1003762,装修装饰,1.29,1592551863,0.64,-6.45,-5,-5.11,2421,3275,3015,BK0725
9.62,-0.1,2882,0,金龙羽,-3112631,输配电气,4.11,1592551863,2.34,-0.18,-2.44,-5.12,2422,1302,1967,BK0457
8.4,0,525,0,红 太 阳,-2379915,农药兽药,-1.41,1592551863,-2.55,-13.12,-10.03,-5.14,2423,3858,3810,BK0730
25.72,0,2833,0,弘亚数控,-1083453,专用设备,0.04,1592551863,-1.83,-1.22,-2.09,-5.15,2424,1658,1811,BK0910
59.02,0.25,300659,0,中孚信息,-6231549,软件服务,1.22,1592551863,4.87,-3.64,-3.88,-5.16,2425,2551,2629,BK0737
2.46,-0.81,2638,0,勤上股份,-1774335,文教休闲,-3.53,1592551863,7.89,3.65,3.22,-5.17,2426,376,233,BK0740
12.19,1.25,2857,0,三晖电气,-578166,仪器仪表,1.33,1592551863,-9.37,-6.77,-2.93,-5.17,2427,3328,2212,BK0458
16.57,0.18,300399,0,京天利,-4394583,电子信息,7.25,1592551863,0.36,0.46,-3.06,-5.18,2428,1057,2259,BK0447
5.22,-1.14,597,0,东北制药,-2956808,医药制造,0.97,1592551863,2.15,-2.83,-1.24,-5.19,2429,2281,1374,BK0465
7.07,-0.42,2532,0,新界泵业,-2658818,机械行业,-1.67,1592551863,10.64,-1.44,-0.76,-5.19,2430,1741,1162,BK0545
3.79,-0.52,2721,0,金一文化,-964197,珠宝首饰,-0.52,1592551863,-1.04,-8.57,-4.49,-5.21,2431,3578,2851,BK0734
2.38,-0.42,17,0,*ST中华A,-557174,文教休闲,3.48,1592551863,-4.42,8.13,0.07,-5.22,2432,95,861,BK0740
7.15,-1.24,603116,1,XD红蜻蜓,-933193,纺织服装,-2.99,1592552382,9.33,-3.01,3.32,-5.23,2433,2347,222,BK0436
20.33,-0.97,603815,1,交建股份,-3234956,工程建设,-0.1,1592552403,-3.1,-1.04,-3.13,-5.24,2434,1593,2300,BK0425
3.7,0,600237,1,铜峰电子,-2621177,电子元件,-1.07,1592552389,-3.39,-5.34,-5.33,-5.28,2435,3014,3121,BK0459
3,-1.64,40,0,东旭蓝天,-3768723,环保工程,3.45,1592551863,-0.33,6.42,-0.52,-5.29,2436,150,1071,BK0728
11.08,0.18,2677,0,浙江美大,-3276827,家电行业,0.91,1592551863,3.65,-0.9,-0.07,-5.29,2437,1527,926,BK0456
3.92,0.51,600617,1,国新能源,-475533,公用事业,-2.49,1592552391,-1.75,-3.26,-1.91,-5.29,2438,2421,1725,BK0427
16.68,-0.12,2332,0,仙琚制药,-18554833,医疗行业,-4.41,1592551863,-0.42,-8.21,-4.45,-5.3,2439,3538,2834,BK0727
4.44,0.23,600635,1,大众公用,-4843854,公用事业,0.45,1592552376,1.37,-1.91,-2.26,-5.3,2440,1927,1889,BK0427
8.7,0.12,600989,1,宝丰能源,-3053217,化工行业,1.4,1592552376,0.12,-5.84,-5.72,-5.3,2441,3157,3246,BK0538
4.13,0.24,600719,1,大连热电,-327680,电力行业,0.98,1592552380,-1.2,-5.11,-2.69,-5.3,2442,2964,2098,BK0428
7.25,-0.68,300133,0,华策影视,-7013882,文化传媒,-3.59,1592551863,-3.2,-6.8,-6.05,-5.31,2443,3332,3312,BK0486
23.37,0,34,0,神州数码,-14009186,软件服务,1.17,1592551863,-0.09,-3.12,-4.73,-5.31,2444,2381,2934,BK0737
12.78,-0.62,600980,1,北矿科技,-1321806,机械行业,0.24,1592552380,-4.34,-4.94,-5.11,-5.31,2445,2926,3049,BK0545
17.84,-0.34,603466,1,风语筑,-7055990,文化传媒,8.38,1592552388,5.31,3.72,-0.3,-5.32,2446,366,996,BK0486
30.88,-0.16,2955,0,鸿合科技,-3291817,文教休闲,3.62,1592551863,1.85,-0.48,-2.63,-5.32,2447,1393,2067,BK0740
5.97,-4.17,601801,1,皖新传媒,-19524420,文化传媒,10.15,1592552381,21.59,-4.05,-1.14,-5.33,2448,2672,1331,BK0486
4.49,-1.32,600707,1,彩虹股份,-6499841,电子元件,1.58,1592552397,6.15,0.92,0.18,-5.33,2449,922,822,BK0459
4.87,0.83,2494,0,华斯股份,-3578111,纺织服装,1.46,1592551863,-10.48,-1.41,-3.71,-5.34,2450,1728,2563,BK0436
8.37,0.36,2772,0,众兴菌业,-2404030,农牧饲渔,1.45,1592551863,-7.62,-3.06,-7.96,-5.34,2451,2361,3639,BK0433
8.1,-5.92,2633,0,申科股份,-5218197,机械行业,-0.49,1592551863,2.53,-9.91,-8.7,-5.35,2452,3695,3720,BK0545
8.15,-0.24,600985,1,淮北矿业,-2050465,煤炭采选,4.49,1592552392,2,3.36,-0.02,-5.35,2453,419,907,BK0437
3.25,-2.11,761,0,本钢板材,-2195101,钢铁行业,1.56,1592551863,-0.91,0.97,-0.7,-5.36,2454,900,1133,BK0479
39.23,-0.23,600588,1,用友网络,-47179623,软件服务,9.83,1592552400,9.4,4.71,3.73,-5.37,2455,263,190,BK0737
14.24,-1.86,2317,0,众生药业,-15148021,医药制造,11.86,1592551863,18.27,2.73,2.68,-5.37,2456,520,296,BK0465
14.73,-1.27,603038,1,华立股份,-450122,装修装饰,2.15,1592552381,6.12,-3.75,-3.85,-5.37,2457,2594,2622,BK0725
8.84,-0.23,2014,0,永新股份,-692639,包装材料,-1.34,1592551863,0.23,-3.35,-1.34,-5.39,2458,2454,1427,BK0733
15.02,-0.46,601865,1,福莱特,-6374749,玻璃陶瓷,-4.33,1592552403,7.44,-5.56,1.01,-5.4,2459,3087,602,BK0546
51.28,-1.67,688333,1,铂力特,-3744996,专用设备,2.42,1592552401,-4.68,-3,-4.51,-5.4,2460,2342,2863,BK0910
7.16,-0.42,603012,1,创力集团,-3251376,专用设备,1.99,1592552385,1.27,-4.77,-4.87,-5.41,2461,2884,2979,BK0910
3.29,0.3,600490,1,鹏欣资源,-2263678,有色金属,3.13,1592552385,2.17,-5.72,-2.49,-5.42,2462,3127,1995,BK0478
4.25,-0.47,600781,1,ST辅仁,-2628570,医药制造,6.52,1592552395,4.42,0.9,-1.17,-5.42,2463,930,1342,BK0465
11.8,0.17,603878,1,武进不锈,-6466992,钢铁行业,4.8,1592552385,3.87,-3.59,-3.07,-5.42,2464,2537,2264,BK0479
7.01,0,788,0,北大医药,-3289904,医药制造,1.59,1592551863,2.04,-6.19,-2.94,-5.42,2465,3227,2214,BK0465
10.84,-0.18,300020,0,银江股份,-14316085,软件服务,6.07,1592551863,6.27,0.94,-0.61,-5.43,2466,916,1105,BK0737
16.06,-0.06,2262,0,恩华药业,-16141059,医药制造,-2.31,1592551863,13.82,-5.27,-1.66,-5.43,2467,2999,1593,BK0465
27.02,-2.95,300538,0,同益股份,-9460930,塑胶制品,-8.34,1592551863,-0.95,-8.26,-3.6,-5.43,2468,3544,2511,BK0454
45.25,0.09,601336,1,新华保险,-27466869,保险,2.38,1592552385,-0.11,-2.71,-1.76,-5.44,2469,2250,1646,BK0474
2.92,0,600558,1,大西洋,-555848,金属制品,1.04,1592552380,-1.02,-2.9,-8.81,-5.45,2470,2308,3741,BK0739
6.98,-1.97,600539,1,ST狮头,-217308,家电行业,3.25,1592552404,0,-1.8,-2.09,-5.46,2471,1890,1812,BK0456
2.64,1.54,601326,1,秦港股份,-1633886,港口水运,1.93,1592552394,-1.12,-1.39,-0.9,-5.47,2472,1722,1225,BK0450
15.77,0.13,601166,1,兴业银行,-76157684,银行,-1.25,1592552379,-2.71,-3.81,-6.87,-5.48,2473,2605,3466,BK0475
5.29,0.19,2061,0,浙江交科,-2043460,工程建设,0.95,1592551863,1.54,-7.68,-7.21,-5.49,2474,3476,3519,BK0425
5.07,-1.17,2148,0,北纬科技,-3079096,通讯行业,-1.17,1592551863,2.84,-2.26,-0.64,-5.5,2475,2062,1117,BK0448
19.17,-2.19,300521,0,爱司凯,-8636873,专用设备,-10.67,1592551863,-19.45,-5.14,-6.41,-5.5,2476,2968,3394,BK0910
14.71,-1.54,603880,1,南卫股份,-9335440,医药制造,23.1,1592552394,39.83,4.1,3.89,-5.51,2477,314,184,BK0465
34.95,-2.78,300766,0,每日互动,-19409979,电子信息,6.72,1592551863,16.89,-2.36,0.1,-5.51,2478,2108,851,BK0447
14.48,1.12,300480,0,光力科技,-6725561,专用设备,2.91,1592551863,3.72,0.01,0.77,-5.51,2479,1202,667,BK0910
45.66,-2.12,300827,0,上能电气,-6171067,输配电气,5.55,1592551863,3.54,-0.02,-1.63,-5.51,2480,1242,1582,BK0457
8.81,-0.34,300103,0,达刚控股,-699168,专用设备,-1.23,1592551863,-1.34,-2.7,-2.72,-5.51,2481,2245,2115,BK0910
6.88,-0.15,16,0,深康佳Ａ,-16227252,家电行业,-1.15,1592551863,-3.23,-3.42,-4.67,-5.52,2482,2481,2909,BK0456
3.47,-0.86,778,0,新兴铸管,-6395320,金属制品,3.58,1592551863,2.97,-0.59,-1.79,-5.52,2483,1420,1657,BK0739
11.22,-0.09,2320,0,海峡股份,-7650693,港口水运,-1.58,1592551863,-9.95,-6.39,-10.6,-5.52,2484,3269,3850,BK0450
5.95,-1.49,300359,0,全通教育,-3676376,文教休闲,0.17,1592551863,5.12,-5.57,-1.56,-5.52,2485,3088,1544,BK0740
5.32,0.19,926,0,福星股份,-2057660,房地产,1.72,1592551863,-1.3,-1.9,-8.73,-5.52,2486,1922,3728,BK0451
25.48,-1.96,2824,0,和胜股份,-7540236,有色金属,-4.17,1592551863,12.74,-3.13,-0.89,-5.52,2487,2386,1217,BK0478
7.44,0.13,300160,0,秀强股份,-18753798,玻璃陶瓷,-11.43,1592551863,22.77,-6.25,-0.99,-5.53,2488,3245,1261,BK0546
7.28,-1.22,300311,0,任子行,-5675604,软件服务,2.1,1592551863,-0.14,-1.17,-2.74,-5.54,2489,1635,2121,BK0737
3.45,0.58,850,0,华茂股份,-1180352,纺织服装,2.37,1592551863,-0.58,-8.15,-7.21,-5.54,2490,3534,3520,BK0436
10.26,-1.54,600967,1,内蒙一机,-10917803,机械行业,4.06,1592552380,3.85,1.56,1.49,-5.55,2491,752,486,BK0545
5.86,-1.18,600336,1,澳柯玛,-3616453,家电行业,1.21,1592552388,-3.14,-4.67,-5.57,-5.56,2492,2851,3192,BK0456
26.08,-0.31,2393,0,力生制药,-2137559,医药制造,4.95,1592551863,5.97,0.08,-0.59,-5.57,2493,1174,1099,BK0465
17.41,-0.34,300151,0,昌红科技,-15120514,专用设备,6.35,1592551863,17.64,-1.57,0.6,-5.58,2494,1792,716,BK0910
4.16,0.24,300267,0,尔康制药,-2491740,医药制造,1.71,1592551863,0.97,-4.65,-5.21,-5.58,2495,2844,3083,BK0465
4.58,-1.51,601003,1,柳钢股份,-2663949,钢铁行业,3.15,1592552376,3.39,-3.95,-4.09,-5.58,2496,2642,2702,BK0479
12.91,-0.92,2254,0,泰和新材,-6848061,化纤行业,4.03,1592551863,0.31,0.05,-2.35,-5.58,2497,1182,1937,BK0471
34.24,0.09,2223,0,鱼跃医疗,-44747725,医疗行业,-3.58,1592551863,9.01,-6.16,-0.8,-5.59,2498,3224,1171,BK0727
40.83,-0.12,600038,1,中直股份,-9044846,航天航空,0.81,1592552389,-1.02,-4.28,-6.07,-5.59,2499,2733,3318,BK0480
7.03,1.3,603958,1,哈森股份,-666174,纺织服装,-2.23,1592552392,1.44,-4.56,-2.91,-5.59,2500,2814,2201,BK0436
6.24,-0.16,600969,1,郴电国际,-527542,电力行业,-0.32,1592552403,-0.79,-6.48,-4.34,-5.59,2501,3282,2800,BK0428
6.79,1.49,600026,1,中远海能,-20614364,港口水运,0.74,1592552381,3.35,-2.69,1.04,-5.6,2502,2237,589,BK0450
32.32,-0.15,600332,1,白云山,-17905902,医药制造,1.76,1592552376,1.89,-1.88,-1.48,-5.6,2503,1917,1499,BK0465
6.82,0,2193,0,如意集团,-676786,纺织服装,0.74,1592551863,-2.01,-2.14,-3.05,-5.6,2504,2021,2256,BK0436
63.24,0.52,2970,0,锐明技术,-10025934,电子信息,6.29,1592551863,2.86,-1.82,-2.91,-5.63,2505,1896,2200,BK0447
5.84,0.52,600686,1,金龙汽车,-868884,汽车行业,-0.51,1592552397,-3.47,-7.08,-6.56,-5.63,2506,3388,3420,BK0481
7.43,0,600851,1,海欣股份,-769924,医药制造,2.34,1592552403,-4.01,-0.82,-6.4,-5.64,2507,1493,3392,BK0465
14.78,-3.08,603607,1,京华激光,-5641599,造纸印刷,7.41,1592552380,5.95,0.25,-0.72,-5.65,2508,1122,1141,BK0470
3.83,-0.26,2002,0,鸿达兴业,-9753764,化工行业,4.08,1592551863,-0.26,0.5,-5.26,-5.66,2509,1039,3103,BK0538
22.82,-1.3,2751,0,易尚展示,-4857267,木业家具,5.16,1592551863,3.02,2.63,0.01,-5.66,2510,537,885,BK0476
26.41,0.11,603059,1,倍加洁,-1442756,化工行业,2.76,1592552388,0.61,-3.01,-1.47,-5.66,2511,2348,1497,BK0538
4.21,3.69,2489,0,浙江永强,-26917155,木业家具,1.2,1592551863,-12.11,-8.54,-10.89,-5.67,2512,3574,3862,BK0476
4.74,-0.42,600468,1,百利电气,-1628039,输配电气,0.64,1592552380,-1.66,-4,-2.38,-5.67,2513,2662,1946,BK0457
4.7,-0.42,852,0,石化机械,-711339,机械行业,1.08,1592551863,-2.49,-1.95,-5.61,-5.67,2514,1945,3213,BK0545
9.43,-0.53,300654,0,世纪天鸿,-3073653,文教休闲,5.96,1592551863,1.73,-0.24,-2.92,-5.7,2515,1319,2204,BK0740
26.12,-0.38,603327,1,福蓉科技,-5446718,电子元件,2.47,1592552379,4.82,-0.91,-1.28,-5.7,2516,1537,1394,BK0459
4.55,-0.22,27,0,深圳能源,-3006185,电力行业,2.02,1592551863,0,-2.94,-0.9,-5.71,2517,2327,1224,BK0428
39.31,-0.86,300807,0,天迈科技,-1119580,专用设备,0.67,1592551863,-0.81,0.01,-2.37,-5.71,2518,1203,1942,BK0910
8.08,0.87,2441,0,众业达,-2010600,输配电气,0.25,1592551863,-1.82,-11.08,-5.19,-5.72,2519,3775,3075,BK0457
8.04,-0.5,603818,1,曲美家居,-863254,木业家具,-2.19,1592552387,2.68,-7.56,-3.5,-5.72,2520,3455,2461,BK0476
44.67,-0.47,300806,0,斯迪克,-3996221,材料行业,5.06,1592551863,3.88,-5.06,-3.52,-5.72,2521,2955,2470,BK0537
24.25,-1.62,2953,0,日丰股份,-6817750,家电行业,5.57,1592551863,5.53,-2.19,-2.16,-5.73,2522,2039,1850,BK0456
19.08,-0.68,2873,0,新天药业,-2882611,医药制造,0.21,1592551863,4.15,-4.25,-2.44,-5.75,2523,2722,1968,BK0465
