,,,,,,,,,10日,5日,10日,,,,,
最新价,今日涨跌,代码,,名称,,板块,5日涨跌,,10日涨跌,主力净占比,主力净占比,,,,,
f2,f3,f12,f13,f14,f62,f100,f109,f124,f160,f165,f175,f184,f225,f263,f264,f265
4.9,0.82,600873,1,梅花生物,16280988,食品饮料,4.7,1592552401,6.06,3.45,3.37,13.5,153,402,214,BK0438
4.77,2.58,601375,1,中原证券,20530686,券商信托,4.38,1592552395,1.27,3.62,-1.46,13.31,154,382,1484,BK0473
12.86,10.01,2044,0,美年健康,148383845,医疗行业,11.44,1592551863,11.34,6.2,4.34,13.3,155,163,151,BK0727
99,7.67,688198,1,佰仁医疗,23318321,医疗行业,10.73,1592552391,28.37,3.56,1.36,13.29,156,388,514,BK0727
6.48,2.21,600864,1,哈投股份,29786921,券商信托,3.02,1592552381,0.15,0.3,-3.12,13.21,157,1104,2292,BK0473
21.5,7.29,601231,1,环旭电子,125672781,电子元件,14.06,1592552395,10.65,5.72,1.69,13.2,158,189,458,BK0459
2.34,0,300217,0,东方电热,5528863,机械行业,-0.43,1592551863,-2.9,2.05,-3.7,13.13,159,653,2560,BK0545
18.65,3.1,600391,1,航发科技,25075535,航天航空,4.25,1592552400,1.36,0.21,-3.08,13.11,160,1131,2272,BK0480
7.33,0.41,531,0,穗恒运Ａ,4000315,电力行业,1.38,1592551863,-3.3,-6.81,-7.75,13.09,161,3336,3603,BK0428
3.91,1.56,10,0,*ST美丽,481071,园林工程,-2.74,1592551863,-4.17,-7.69,-8.8,13.04,162,3479,3739,BK0726
12.1,3.77,600475,1,华光股份,6201999,机械行业,6.14,1592552385,3.51,4.8,0.16,13.03,163,251,831,BK0545
24.1,0.96,300752,0,隆利科技,5503386,电子元件,6.5,1592551863,4.01,9.13,5.03,13.03,164,70,118,BK0459
8.33,3.61,2561,0,徐家汇,13292887,商业百货,4.91,1592551863,4.65,3.86,-0.86,12.97,165,342,1195,BK0482
3.62,0.28,56,0,皇庭国际,2261900,房地产,3.72,1592551863,-4.23,5.68,-5.08,12.96,166,190,3039,BK0451
13.91,2.2,776,0,广发证券,125084507,券商信托,3.81,1592551863,1.24,4.66,-1.06,12.91,167,268,1291,BK0473
4.2,4.74,300148,0,天舟文化,29821406,文化传媒,8.81,1592551863,17.32,1.41,1.06,12.91,168,791,584,BK0486
16,3.23,600862,1,中航高科,37157484,航天航空,-8.36,1592552397,0.31,-9.62,-1.82,12.85,169,3670,1671,BK0480
16.89,10.03,603329,1,上海雅仕,25655640,交运物流,36.21,1592552387,26.04,6.35,3.54,12.85,170,152,199,BK0422
59.77,3.32,333,0,美的集团,247034393,家电行业,-0.35,1592551863,1.39,-2.5,-1.18,12.84,171,2173,1343,BK0456
22.83,2.51,600340,1,华夏幸福,70836035,房地产,3.63,1592552400,2.1,4.06,-0.92,12.76,172,316,1235,BK0451
16.8,2.38,601211,1,国泰君安,120508293,券商信托,3.38,1592552385,5.26,4.01,4.58,12.71,173,320,140,BK0473
7.33,3.68,600695,1,绿庭投资,31477521,多元金融,2.52,1592552391,4.42,1.44,2.33,12.65,174,784,350,BK0738
12.39,3.86,600628,1,新世界,12946443,商业百货,4.12,1592552381,3.08,2.12,-0.83,12.64,175,638,1186,BK0482
1.32,0.76,982,0,*ST 中绒,1454856,纺织服装,-0.75,1592551863,-2.22,-9.03,-11.27,12.63,176,3620,3876,BK0436
3.11,3.67,540,0,中天金融,29724890,房地产,4.36,1592551863,0.97,0.76,-3.41,12.6,177,966,2416,BK0451
14.46,1.4,603877,1,太平鸟,2116633,纺织服装,-0.75,1592552397,-0.62,6.39,3.61,12.54,178,151,196,BK0436
278.3,5.82,688318,1,财富趋势,128614935,软件服务,-1.36,1592552391,-1.73,-2.6,-1.62,12.42,179,2210,1575,BK0737
11.56,4.33,38,0,深大通,31872983,国际贸易,8.75,1592551863,-2.12,3.36,-0.74,12.4,181,416,1150,BK0484
3.9,3.17,300201,0,海伦哲,12729902,汽车行业,5.69,1592551863,-0.26,-0.96,-4.84,12.38,182,1560,2969,BK0481
30.38,1.33,300635,0,中达安,13299535,工程建设,1.47,1592551863,0.5,4.82,-1.62,12.37,183,249,1576,BK0425
