f2,f3,f12,f14,f62,f66,f69,f72,f75,f78,f81,f84,f87,f124,f184,f204,f205,f206
5.84,0.52,600686,金龙汽车,-868884.0,0.0,0.0,-868884.0,-5.63,268526.0,1.74,600358.0,3.89,1592552397,-5.63,-,-,-
84.01,0.15,300799,左江科技,-870106.0,978556.0,1.96,-1848662.0,-3.69,-494927.0,-0.99,1365033.0,2.73,1592551863,-1.74,-,-,-
5.23,0.58,300062,中能电气,-874452.0,1772640.0,7.3,-2647092.0,-10.9,1609286.0,6.63,-734834.0,-3.03,1592551863,-3.6,-,-,-
6.96,-1.0,002566,益盛药业,-875466.0,121104.0,0.55,-996570.0,-4.56,-332480.0,-1.52,1207947.0,5.53,1592551863,-4.01,-,-,-
2.76,-4.83,600243,*ST海华,-877147.0,0.0,0.0,-877147.0,-10.32,252118.0,2.97,625028.0,7.35,1592552381,-10.32,-,-,-
6.35,0.16,002608,江苏国信,-879960.0,0.0,0.0,-879960.0,-7.28,-909146.0,-7.52,1789105.0,14.81,1592551863,-7.28,-,-,-
14.05,-0.35,603386,广东骏亚,-880250.0,0.0,0.0,-880250.0,-5.94,45998.0,0.31,834252.0,5.63,1592552389,-5.94,-,-,-
2.19,0.46,601016,节能风电,-883172.0,-108571.0,-0.27,-774601.0,-1.9,-2085178.0,-5.13,2968350.0,7.3,1592552403,-2.17,-,-,-
16.46,-0.06,603551,奥普家居,-887316.0,0.0,0.0,-887316.0,-3.68,1311774.0,5.44,-424459.0,-1.76,1592552389,-3.68,-,-,-
3.12,0.0,000698,沈阳化工,-888153.0,0.0,0.0,-888153.0,-6.73,2108530.0,15.99,-1220378.0,-9.25,1592551863,-6.73,-,-,-
16.85,0.72,603032,德新交运,-889663.0,0.0,0.0,-889663.0,-4.06,488553.0,2.23,401110.0,1.83,1592552392,-4.06,-,-,-
4.93,0.82,002284,亚太股份,-894067.0,0.0,0.0,-894067.0,-3.85,1778303.0,7.65,-884238.0,-3.8,1592551863,-3.85,-,-,-
20.24,0.3,688128,中国电研,-895221.0,0.0,0.0,-895221.0,-1.93,-782777.0,-1.68,1677997.0,3.61,1592552376,-1.93,-,-,-
6.29,1.78,002042,华孚时尚,-895414.0,936092.0,1.3,-1831506.0,-2.55,1270063.0,1.77,-374650.0,-0.52,1592551863,-1.24,-,-,-
33.12,0.52,300800,力合科技,-895634.0,-564352.0,-1.47,-331282.0,-0.87,-44546.0,-0.12,940180.0,2.46,1592551863,-2.34,-,-,-
16.99,0.71,603657,春光科技,-911426.0,779304.0,4.0,-1690730.0,-8.68,796508.0,4.09,114918.0,0.59,1592552387,-4.68,-,-,-
6.9,-0.29,300539,横河模具,-911951.0,199807.0,0.91,-1111758.0,-5.07,1381773.0,6.3,-469824.0,-2.14,1592551863,-4.16,-,-,-
7.75,-1.15,603123,翠微股份,-917486.0,0.0,0.0,-917486.0,-2.37,2643684.0,6.82,-1726198.0,-4.45,1592552388,-2.37,-,-,-
2.66,-0.37,000005,世纪星源,-918572.0,-37240.0,-0.34,-881332.0,-7.96,-150948.0,-1.36,1069519.0,9.66,1592551863,-8.29,-,-,-
5.71,-0.52,600353,旭光股份,-919625.0,0.0,0.0,-919625.0,-1.58,-2301965.0,-3.95,3221590.0,5.53,1592552397,-1.58,-,-,-
8.39,-0.94,300555,路通视信,-923276.0,-23520.0,-0.1,-899756.0,-3.91,-232295.0,-1.01,1155571.0,5.03,1592551863,-4.02,-,-,-
39.14,0.31,688010,福光股份,-925417.0,811024.0,1.94,-1736441.0,-4.15,487702.0,1.16,437715.0,1.05,1592552380,-2.21,-,-,-
7.15,-1.24,603116,XD红蜻蜓,-933193.0,0.0,0.0,-933193.0,-5.23,-856796.0,-4.8,1789988.0,10.04,1592552382,-5.23,-,-,-
4.65,0.65,002130,沃尔核材,-936669.0,0.0,0.0,-936669.0,-2.66,-905849.0,-2.58,1842518.0,5.24,1592551863,-2.66,-,-,-
10.68,-1.11,002835,同为股份,-944846.0,0.0,0.0,-944846.0,-4.24,-85644.0,-0.38,1030490.0,4.63,1592551863,-4.24,-,-,-
6.13,0.0,000657,中钨高新,-944914.0,0.0,0.0,-944914.0,-6.39,707581.0,4.78,237333.0,1.6,1592551863,-6.39,-,-,-
4.34,-0.46,000958,东方能源,-947064.0,0.0,0.0,-947064.0,-3.48,-115910.0,-0.43,1062975.0,3.91,1592551863,-3.48,-,-,-
3.8,0.53,603227,雪峰科技,-947184.0,110754.0,1.0,-1057938.0,-9.57,160486.0,1.45,786698.0,7.11,1592552397,-8.57,-,-,-
27.17,3.15,603960,克来机电,-948081.0,-8955137.0,-6.94,8007056.0,6.2,150459.0,0.12,797622.0,0.62,1592552401,-0.73,-,-,-
1.39,-2.11,600555,*ST海创,-950433.0,0.0,0.0,-950433.0,-6.05,642548.0,4.09,307884.0,1.96,1592552381,-6.05,-,-,-
5.36,4.69,002264,新 华 都,-950686.0,-1092129.0,-0.73,141443.0,0.09,674935.0,0.45,275751.0,0.18,1592551863,-0.63,-,-,-
11.1,-3.31,600421,ST仰帆,-953572.0,0.0,0.0,-953572.0,-15.86,-576126.0,-9.58,1529697.0,25.45,1592552395,-15.86,-,-,-
